series,index,value
Adjusted target,238,-0.011678
Adjusted target,239,-0.011456
Adjusted target,240,-0.011224
Adjusted target,241,-0.011142
Adjusted target,242,-0.010891
Adjusted target,243,-0.010696
Adjusted target,244,-0.010284
Adjusted target,245,-0.01026
Adjusted target,246,-0.009963
Adjusted target,247,-0.00954
Adjusted target,248,-0.008886
Adjusted target,249,-0.007928
Adjusted target,250,-0.007854
Adjusted target,251,-0.007685
Adjusted target,252,-0.007445
Adjusted target,253,-0.007053
Adjusted target,254,-0.006954
Adjusted target,255,-0.00695
Adjusted target,256,-0.006927
Adjusted target,257,-0.00688
Adjusted target,258,-0.006804
Adjusted target,259,-0.006793
Adjusted target,260,-0.006689
Adjusted target,261,-0.006385
Adjusted target,262,-0.006083
Adjusted target,263,-0.005992
Adjusted target,264,-0.005842
Adjusted target,265,-0.005666
Adjusted target,266,-0.005415
Adjusted target,267,-0.005132
Adjusted target,268,-0.005053
Adjusted target,269,-0.004415
Adjusted target,270,-0.004144
Adjusted target,271,-0.004025
Adjusted target,272,-0.003834
Adjusted target,273,-0.003661
Adjusted target,274,-0.003187
Adjusted target,275,-0.003185
Adjusted target,276,-0.003153
Adjusted target,277,-0.003036
Adjusted target,278,-0.002994
Adjusted target,279,-0.002358
Adjusted target,280,-0.002202
Adjusted target,281,-0.002107
Adjusted target,282,-0.002
Adjusted target,283,-0.001732
Adjusted target,284,-0.001647
Adjusted target,285,-0.001567
Adjusted target,286,-0.001408
Adjusted target,287,-0.001081
Adjusted target,288,-0.000959
Adjusted target,289,-0.000739
Adjusted target,290,-0.000567
Adjusted target,291,-0.000422
Adjusted target,292,-0.000388
Adjusted target,293,-1.5e-05
Adjusted target,294,0.0
Adjusted target,295,0.0
Adjusted target,296,4e-06
Adjusted target,297,0.000112
Adjusted target,298,0.000429
Adjusted target,299,0.000499
Adjusted target,300,0.000522
Adjusted target,301,0.000998
Adjusted target,302,0.00107
Adjusted target,303,0.001652
Adjusted target,304,0.001928
Adjusted target,305,0.002019
Adjusted target,306,0.002405
Adjusted target,307,0.002555
Adjusted target,308,0.002753
Adjusted target,309,0.002848
Adjusted target,310,0.003023
Adjusted target,311,0.0031
Adjusted target,312,0.003492
Adjusted target,313,0.003879
Adjusted target,314,0.003958
Adjusted target,315,0.004238
Adjusted target,316,0.004348
Adjusted target,317,0.004536
Adjusted target,318,0.004563
Adjusted target,319,0.004606
Adjusted target,320,0.004661
Adjusted target,321,0.004771
Adjusted target,322,0.004816
Adjusted target,323,0.00489
Adjusted target,324,0.004974
Adjusted target,325,0.004983
Adjusted target,326,0.005251
Adjusted target,327,0.005332
Adjusted target,328,0.005633
Adjusted target,329,0.0057
Adjusted target,330,0.005753
Adjusted target,331,0.005884
Adjusted target,332,0.00739
